px,py,rho_p
10,18,-3.0674807835e-04
10,19,-4.1918903593e-04
10,20,-5.4672760368e-04
10,21,-6.7644974285e-04
10,22,-7.8634412045e-04
10,23,-8.5044800816e-04
10,24,-8.5044800816e-04
10,25,-7.8634412045e-04
10,26,-6.7644974285e-04
10,27,-5.4672760368e-04
10,28,-4.1918903593e-04
10,29,-3.0674807835e-04
10,30,-2.1410672310e-04
10,31,-1.4089408711e-04
10,32,-8.4453957359e-05
10,33,-4.1546928698e-05
10,34,-9.1583408567e-06
10,35,1.5220229309e-05
10,36,3.3561715952e-05
10,37,4.7372015585e-05
10,38,5.7782457136e-05
10,39,6.5636296087e-05
10,40,7.1559870837e-05
10,41,7.6017679981e-05
10,42,7.9353641480e-05
10,43,8.1821409649e-05
10,44,8.3606350887e-05
10,45,8.4841255985e-05
10,46,8.5617343977e-05
10,47,8.5991667097e-05
11,0,7.6041023208e-05
11,1,7.5613478039e-05
11,2,7.4729464259e-05
11,3,7.3328870822e-05
11,4,7.1315641708e-05
11,5,6.8550042517e-05
11,6,6.4837164247e-05
11,7,5.9910498381e-05
11,8,5.3408944560e-05
11,9,4.4845051224e-05
11,10,3.3561715952e-05
11,11,1.8674235864e-05
11,12,-1.0048427966e-06
11,13,-2.7057621162e-05
11,14,-6.1560199402e-05
11,15,-1.0715875208e-04
11,16,-1.6704566016e-04
11,17,-2.4467291079e-04
11,18,-3.4291002649e-04
11,19,-4.6224590242e-04
11,20,-5.9780727892e-04
11,21,-7.3594604232e-04
11,22,-8.5318573554e-04
11,23,-9.2166746412e-04
11,24,-9.2166746412e-04
11,25,-8.5318573554e-04
11,26,-7.3594604232e-04
11,27,-5.9780727892e-04
11,28,-4.6224590242e-04
11,29,-3.4291002649e-04
11,30,-2.4467291079e-04
11,31,-1.6704566016e-04
11,32,-1.0715875208e-04
11,33,-6.1560199402e-05
11,34,-2.7057621162e-05
11,35,-1.0048427966e-06
11,36,1.8674235864e-05
11,37,3.3561715952e-05
11,38,4.4845051224e-05
